打印行	 println
强度	intensity
实施	enforce
执行	enforce
强制	enforce
桥	bridge
桥梁	bridge
桥牌	bridge
砍	chop
劈	chop
切细砍	chop
入侵	invasion
侵略	invasion
侵犯	invasion
入侵	invade
侵略	invade
侵袭	invade
人们	folk
家属	folk
亲属	folk
工业	industry
产业	industry
勤劳	industry
首要的	prime
春	prime
青春	prime
青春	youth
青年们	youth
青年	youth
拍手	clap
拍	clap
轻拍	clap
弄翻	upset
打翻	upset
倾覆	upset
走向	tend
趋向	tend
倾向	tend
趋向	tendency
趋势	tendency
倾向	tendency
伸向	trend
倾向	trend
倾卸	dump
倾倒	dump
倾销	dump
倾斜	slope
斜面	slope
灌	pour
倒	pour
倾泻	pour
智力	intelligence
理解力	intelligence
情报	intelligence
视力	sight
见	sight
情景	sight
爱好者	lover
情人	lover
情侣	lover
精神	spirit
气魄	spirit
情绪	spirit
韧度	temper
心情	temper
情绪	temper
选择	choose
挑选	choose
情愿	choose
邀请	invitation
招待	invitation
请柬	invitation
小山	hill
山岗	hill
丘陵	hill
笼	cage
鸟笼	cage
囚笼	cage
提议	posal
建议	posal
求婚	posal
软毛	fur
毛皮	fur
裘皮	fur
差别	distinction
不同	distinction
区分	distinction
区	district
地区	district
区域	district
驾驶	drive
打入	drive
驱	drive
沟	ditch
沟渠	ditch
渠道	ditch
误解	misunderstand
误会	misunderstand
曲解	misunderstand
解开	undo
打开	undo
取消	undo
离开	away
远离	away
去	away
减	subtract
减去	subtract
去掉	subtract
围	surround
围绕	surround
圈住	surround
圆	circle
圆周	circle
圈子	circle
当局	authority
官方	authority
权力	authority
狗	dog
犬	dog
犬科动物	dog
推荐	recommend
介绍	recommend
劝告	recommend
推荐	recommendation
介绍	recommendation
劝告	recommendation
罪恶	vice
恶习	vice
缺点	vice
缺席	absence
不在场	absence
缺乏	absence
要	want
需要	want
缺乏	want
决心	determination
决定	determination
确定	determination
建立	establish
设立	establish
确立	establish
建立	establishment
设立	establishment
确立	establishment
众多	mass
团	mass
群众	mass
染	dye
染料	dye
染色	dye
猜想	suppose
假定	suppose
让	suppose
革命	revolution
旋转	revolution
绕转	revolution
热情	enthusiasm
热心	enthusiasm
热忱	enthusiasm
暖和	warmth
温暖	warmth
热烈	warmth
火焰	flame
光辉	flame
热情	flame
人的	human
人类的	human
人	human
人民	people
民族	people
人	people
灵魂	soul
精神	soul
人	soul
天才	talent
才能	talent
人才	talent
男人	man
人	man
人类	man
哲学	philosophy
哲理	philosophy
人生观	philosophy
数字	figure
外形	figure
人物	figure
工人	worker
工作者	worker
人员	worker
支撑	sustain
供养	sustain
忍受	sustain
经历	undergo
经受	undergo
忍受	undergo
区别	distinguish
辨别	distinguish
认别	distinguish
道歉	apologize
谢罪	apologize
认错	apologize
想	think
想要	think
认为	think
允许	allow
准许	allow
任	allow
什么	any
一些	any
任何的	any
构成	constitute
组成	constitute
任命	constitute
角色	role
作用	role
任务	role
日期	date
注	date
日报	journal
杂志	journal
日志	journal
羊毛	wool
毛线	wool
绒线	wool
内容	content
目录	content
容量	content
罐头	can
听头	can
容器	can
遭受	suffer
忍受	suffer
容许	suffer
解决	solution
解答	solution
溶解	solution
粘土	clay
泥土	clay
肉体	clay
肉	flesh
肌肉	flesh
肉体	flesh
里	in
进	in
入	in
接近	access
通道	access
入口	access
虚弱	weakness
软弱	weakness
弱点	weakness
塞子	plug
插头	plug
塞	plug
使消散	scatter
撒	scatter
散播	scatter
咽喉	throat
喉咙	throat
嗓音	throat
葬礼	funeral
丧礼	funeral
丧葬	funeral
混乱	disorder
杂乱	disorder
骚乱	disorder
扫	sweep
刮起	sweep
扫过	sweep
细看	scan
浏览	scan
扫描	scan
沙	sand
沙子	sand
沙滩	sand
登上	mount
爬上	mount
山	mount
山	mountain
山岳	mountain
山脉	mountain
取消	cancel
撤消	cancel
删去	cancel
闪光	flash
闪	flash
闪烁	flash
沙漠	desert
离弃	desert
擅离	desert
贮藏	store
贮存品	store
商店	store
房屋	house
住宅	house
商号	house
费	fee
酬金	fee
赏金	fee
陆地	land
土地	land
上岸	land
在船上	aboard
在车上	aboard
上船	aboard
神	god
神像	god
上帝	god
起立	rise
升起	rise
上涨	rise
烹调	cook
煮	cook
烧菜	cook
烧	burn
燃烧	burn
烧伤	burn
小孩	kid
儿童	kid
少年	kid
女佣	maid
女仆	maid
少女	maid
奢侈	luxury
奢华	luxury
奢侈品	luxury
家具	furniture
装置	furniture
设备	furniture
器械	device
装置	device
设计	device
布局	layout
安排	layout
设计	layout
安装	installation
装置	installation
设施	installation
概念	concept
观念	concept
设想	concept
置放	lay
铺设	lay
设置	lay
排	rank
横行	rank
社会阶层	rank
商业	commerce
贸易	commerce
社交	commerce
社会	society
团体	society
社交界	society
公司	corporation
企业	corporation
社团	corporation
发射	shot
弹丸	shot
射门	shot
方案	ject
工程	ject
伸出	ject
伸展	stretch
伸	stretch
深度	depth
深厚	depth
深处	depth
试	trial
试验	trial
审判	trial
色拉	salad
莴苣	salad
生菜	salad
存在	existence
实在	existence
生存	existence
根	root
根子	root
生根	root
存在	exist
生存	exist
生活	exist
活的	living
生活	living
生计	living
存在	being
生物	being
生命	being
本能	instinct
直觉	instinct
生性	instinct
容忍	bear
负担	bear
生育	bear
发展	development
开发	development
生长	development
增长	growth
增长量	growth
生长	growth
发生	generate
引起	generate
生殖	generate
音	tone
腔调	tone
声调	tone
兽	beast
野兽	beast
牲畜	beast
成功	success
成就	success
胜利	success
身体	body
主体	body
尸体	body
遗失	loss
损失	loss
失败	loss
诗	poem
韵文	poem
诗体文	poem
诗	poetry
诗歌	poetry
诗作	poetry
请求	application
申请	application
施用	application
岩	rock
岩石	rock
石头	rock
什么时候	when
当	when
时	when
场合	occasion
时刻	occasion
时机	occasion
季	season
季节	season
时节	season
小时	hour
时间	hour
时刻	hour
片刻	moment
瞬间	moment
时刻	moment
事实	fact
实际	fact
实情	fact
将	execute
处死	execute
实施	execute
效用	utility
有用	utility
实用	utility
碗柜	cupboard
碗碟橱	cupboard
食橱	cupboard
胃	stomach
肚子	stomach
食欲	stomach
允许	let
让	let
使	let
放	put
摆	put
使处于	put
表示	render
给予	render
使得	render
怒	anger
愤怒	anger
使发怒	anger
雇用	employ
用	employ
使忙于	employ
难题	puzzle
谜	puzzle
使迷惑	puzzle
创伤	wound
伤	wound
使受伤	wound
使命	mission
任务	mission
使团	mission
应用	apply
实施	apply
使用	apply
工业	employment
雇用	employment
使用	employment
坐	sit
就坐	sit
使坐	sit
座	seat
座部	seat
使坐下	seat
世界	world
世人	world
世间	world
风格	style
文体	style
式样	style
出现	appear
来到	appear
似乎	appear
事件	event
大事	event
事变	event
发生	occurrence
出现	occurrence
事件	occurrence
例子	instance
实例	instance
事例	instance
事情	affair
事件	affair
事务	affair
商业	business
生意	business
事务	business
原因	cause
理由	cause
事业	cause
寻找	seek
探索	seek
试图	seek
起拆	suit
诉讼	suit
适合	suit
回答	answer
响应	answer
适应	answer
释放	discharge
排出	discharge
搜集	collection
收集	collection
收藏品	collection
收获	harvest
收成	harvest
收割	harvest
回想	recall
叫回	recall
收回	recall
收到	receipt
收条	receipt
收据	receipt
钱包	purse
小钱袋	purse
手袋	purse
火炬	torch
火把	torch
手电筒	torch
枪	gun
炮	gun
手枪	gun
保存	conservation
保护	conservation
守恒	conservation
资本	capital
资金	capital
首都	capital
领袖	leader
领导人	leader
首领	leader
生命	life
一生	life
寿命	life
轻蔑	contempt
藐视	contempt
受辱	contempt
损害	injury
伤害	injury
受伤处	injury
一致	accordance
和谐	accordance
授予	accordance
笔迹	handwriting
手迹	handwriting
书法	handwriting
忽视	neglect
忽略	neglect
疏忽	neglect
产量	output
输出量	output
输出	output
失去	lose
迷失	lose
输掉	lose
技能	skill
技巧	skill
熟练	skill
认识	acquaintance
了解	acquaintance
熟人	acquaintance
把	attribute
归因于	attribute
属性	attribute
螺栓	bolt
插销	bolt
闩门	bolt
父亲	parent
母亲	parent
双亲	parent
冰冻	frost
严寒	frost
霜	frost
水手	sailor
海员	sailor
水兵	sailor
水塘	pool
游泳池	pool
水池	pool
江	river
河	river
水道	river
滴下	drip
漏水	drip
水滴	drip
职责	duty
责任	duty
税	duty
睡眠	sleep
睡	sleep
遵守	observe
看到	observe
说	observe
说话	speak
发言	speak
说	speak
名字	name
名誉	name
说出	name
主人	master
能手	master
硕士	master
正义	justice
公正	justice
司法	justice
蚕丝	silk
丝	silk
丝织品	silk
反射	reflect
反映	reflect
思考	reflect
裂缝	slit
切开	slit
撕开	slit
结尾	ending
结局	ending
死亡	ending
农场	farm
农庄	farm
饲养场	farm
做	give
作	give
送给	give
在	search
中搜寻	search
搜查	search
酸	acid
酸的	acid
酸性的	acid
碎片	fragment
破片	fragment
碎块	fragment
损害	damage
毁坏	damage
伤害	harm
损害	harm
伤害	injure
损害	injure
损伤	injure
减少	reduction
减小	reduction
缩减	reduction
减少	lessen
减轻	lessen
缩小	lessen
因此	consequently
因而	consequently
所以	consequently
细绳	cord
粗线	cord
索	cord
声称	claim
主张	claim
索取	claim
锁	lock
锁上	lock
锁住	lock
这	it
那	it
它	it
行为	behavior
举止	behavior
态度	behavior
地址	address
演说	address
谈吐	address
供认	confess
承认	confess
坦白	confess
铁	iron
烙铁	iron
烫衣	iron
逃跑	escape
逸出	escape
航班	flight
飞行	flight
逃跑	flight
箱	case
盒	case
套	case
质量	quality
品质	quality
特性	quality
痛	ache
想念	ache
疼痛	ache
赠送	present
介绍	present
提出	present
举起	raise
引起	raise
提高	raise
提供	offer
提出	offer
参考	reference
出处	reference
提及	reference
在前	ahead
向前	ahead
提前	ahead
促进	mote
发扬	mote
提升	mote
线索	clue
暗示	clue
提示	clue
运动	motion
手势	motion
提议	motion
标题	heading
题词	heading
题名	heading
肌肉	muscle
肌	muscle
体力	muscle
考虑	consideration
思考	consideration
体贴	consideration
礼物	gift
赠品	gift
天赋	gift
天堂	heaven
天	heaven
天空	heaven
使平衡	balance
称	balance
天平	balance
诅咒	curse
咒骂	curse
天谴	curse
地图	map
图	map
天体图	map
灾难	disaster
灾祸	disaster
天灾	disaster
天才	genius
天赋	genius
天资	genius
垫	pad
本子	pad
填塞	pad
肩	shoulder
肩膀	shoulder
挑起	shoulder
剥	strip
夺去	strip
条带	strip
打听	inquire
询问	inquire
调查	inquire
询问	inquiry
打听	inquiry
调查	inquiry
筹备	arrange
整理	arrange
调解	arrange
安排	settle
安放	settle
调停	settle
调子	tune
和谐	tune
调谐	tune
管理	regulate
控制	regulate
调整	regulate
跳	jump
暴涨	jump
跳过	jump
反跳	bounce
弹起	bounce
跳起	bounce
跳	leap
跃	leap
跳跃	leap
横条	rail
横杆	rail
铁轨	rail
听	listen
留神听	listen
听从	listen
耳朵	ear
听力	ear
听觉	ear
听见	hear
审讯	hear
听说	hear
法院	court
法庭	court
庭院	court
锚	anchor
抛锚	anchor
停泊	anchor
离开	quit
退出	quit
停止	quit
塞住	stop
阻止	stop
停止	stop
停止	halt
立定	halt
停住	halt
通过	passage
通路	passage
通道	passage
走廊	corridor
回廊	corridor
通路	corridor
知道	know
认识	know
通晓	know
网	net
网状物	net
通信网	net
劝告	advise
建议	advise
通知	advise
消息	information
信息	information
通知	information
教	instruct
指示	instruct
通知	instruct
公司	company
商号	company
同伴	company
兄弟	brother
同事	brother
同胞	brother
同情	sympathy
一致	sympathy
同感	sympathy
怜悯	pity
遗憾	pity
同情	pity
交往	associate
伙伴	associate
同事	associate
协定	agreement
协议	agreement
同意	agreement
同意	consent
赞成	consent
允许	permission
许可	permission
同意	permission
铜	copper
铜币	copper
铜制器	copper
捐献	contribute
捐助	contribute
投稿	contribute
投资	investment
投资额	investment
投入	investment
暂住	lodge
借宿	lodge
投宿	lodge
投	pitch
掷	pitch
投掷	pitch
设计	design
图样	design
泥土	soil
土壤	soil
土地	soil
单一	unity
统一	unity
团结	unity
推	push
逼迫	push
吊	suspend
悬	suspend
推迟	suspend
演绎	deduce
推论	deduce
推断	deduce
理由	reason
理性	reason
推理	reason
出口	exit
退场	exit
退出	exit
收缩	shrink
缩小	shrink
退缩	shrink
拖	drag
拉	drag
拖曳	drag
移动	remove
搬开	remove
脱掉	remove
流出	shed
散发	shed
脱落	shed
使厌烦	bore
钻	bore
挖	bore
倒坍	collapse
崩溃	collapse
瓦解	collapse
脚底	sole
鞋底	sole
袜底	sole
方面	aspect
样子	aspect
外表	aspect
脸	face
表面	face
外表	face
地面	surface
表面	surface
外表	surface
空气	air
空中	air
外观	air
出现	appearance
来到	appearance
外观	appearance
皮	skin
兽皮	skin
外皮	skin
俯身	stoop
弯身	stoop
弯腰	stoop
达到	attain
获得	attain
完成	attain
履行	fulfil
满足	fulfil
完成	fulfil
乐趣	fun
娱乐	fun
玩笑	fun
治理	harness
马具	harness
挽具	harness
迟的	late
迟	late
晚	late
傍晚	evening
黄昏	evening
晚上	evening
碗	bowl
钵	bowl
碗状物	bowl
向前	forward
今后	forward
往后	forward
向前	forth
向外	forth
往外	forth
兴旺	thrive
繁荣	thrive
旺盛	thrive
原子	atom
微粒	atom
微量	atom
环境	environment
外界	environment
围绕	environment
只	only
仅仅	only
唯一的	only
维持	maintain
赡养	maintain
维修	maintain
维持	maintenance
保持	maintenance
维修	maintenance
信任	trust
相信	trust
委托	trust
守卫	guard
看守	guard
卫兵	guard
月球	moon
月亮	moon
卫星	moon
躺	lie
平放	lie
位于	lie
尝	taste
尝到	taste
味觉	taste
潮湿	moisture
湿气	moisture
温度	moisture
作者	writer
作家	writer
文学家	writer
消化	digest
领会	digest
文摘	digest
纸	paper
官方文件	paper
文章	paper
吻	kiss
接吻	kiss
问题	blem
习题	blem
千	thousand
千个	thousand
无数	thousand
臂	arm
臂状物	arm
武器	arm
跳舞	dance
摇晃	dance
舞	dance
球	ball
球状物	ball
舞会	ball
文章	article
条款	article
物品	article
西	west
西洋	west
西方的	west
引诱	tempt
诱惑	tempt
吸引	tempt
喜欢	like
喜爱	like
希望	like
祝	wish
想要	wish
希望	wish
膝	knee
膝盖	knee
膝关节	knee
统治	rule
规定	rule
习惯	rule
协会	institution
制度	institution
习俗	institution
洗	wash
冲出	wash
洗涤	wash
享受	enjoy
欣赏	enjoy
喜爱	enjoy
魔法	magic
巫术	magic
戏法	magic
领带	tie
联系	tie
系	tie
因素	factor
因子	factor
系数	factor
考试	exam
检查	exam
细查	exam
考试	examination
检查	examination
细查	examination
下来	descend
下降	descend
下倾	descend
雨	rain
雨水	rain
下雨	rain
教师	teacher
老师	teacher
先生	teacher
发现	discover
暴露	discover
显示	discover
陈列	display
展览	display
显示	display
管	tube
电子管	tube
显像管	tube
出	out
在外	out
现出来	out
给	define
下定义	define
限定	define
抑制	restrain
遏制	restrain
限制	restrain
落下	fall
跌倒	fall
陷落	fall
宁可	rather
宁愿	rather
相当	rather
等同	equality
平等	equality
相等	equality
阶段	phase
方面	phase
相位	phase
依靠	depend
依赖	depend
相信	depend
胸腔	chest
胸膛	chest
箱子	chest
作答	response
回答	response
响应	response
思想	thought
思维	thought
想法	thought
在	before
以前	before
向	before
桌子	table
餐桌	table
项目表	table
链	chain
链条	chain
项圈	chain
描绘	represent
代表	represent
象征	represent
像	like
如	like
像要	like
消耗	consume
消费	consume
消灭	consume
破坏	destruction
毁灭	destruction
消灭	destruction
杀死	kill
扼杀	kill
消磨	kill
不见	disappear
失踪	disappear
消失	disappear
丢掉	disposal
处理	disposal
销毁	disposal
去掉	dispose
丢掉	dispose
销毁	dispose
市场	market
集市	market
销路	market
卖	sale
拍卖	sale
销售额	sale
一点	bit
一些	bit
小片	bit
短文	essay
散文	essay
小品文	essay
关心	care
介意	care
小心	care
小的	small
少的	small
小型的	small
编辑	editor
编者	editor
校订者	editor
证据	of
证明	of
校样	of
调整	adjust
调节	adjust
校正	adjust
笑	laugh
发笑	laugh
微笑	smile
笑容	smile
目的	purpose
意图	purpose
效果	purpose
结果	effect
效果	effect
效力	effect
效率	efficiency
功效	efficiency
效能	efficiency
条约	treaty
协议	treaty
协定	treaty
理解	understanding
理解力	understanding
协定	understanding
联合	union
团结	union
协会	union
书写	write
写	write
构成	composition
作品	composition
写作	composition
道歉	apology
认错	apology
谢罪	apology
痛	pain
疼痛	pain
辛苦	pain
边境	frontier
边疆	frontier
新领域	frontier
依赖	rely
依靠	rely
信赖	rely
信任	belief
相信	belief
信念	belief
信任	confidence
信赖	confidence
信心	confidence
信任	faith
信心	faith
信仰	faith
犯人	criminal
罪犯	criminal
刑事犯	criminal
形式	form
形状	form
形成	form
形状	shape
情况	shape
形成	shape
形成	formation
构成	formation
形成物	formation
位置	situation
处境	situation
形势	situation
繁荣	flourish
茂盛	flourish
兴旺	flourish
繁荣	sperity
昌盛	sperity
兴旺	sperity
运气	luck
好运	luck
幸运	luck
大自然	nature
本性	nature
性质	nature
财产	perty
资产	perty
性质	perty
威胁	threat
恐吓	threat
凶兆	threat
乳房	breast
胸脯	breast
胸膛	breast
恢复	restore
归还	restore
修补	restore
修订	revise
校订	revise
修改	revise
剃	shave
刮	shave
修面	shave
装饰	decorate
装璜	decorate
修饰	decorate
更改	modify
修改	modify
修饰	modify
羞耻	shame
羞愧	shame
羞辱	shame
嗅觉	smell
气味	smell
嗅	smell
挑战	challenge
要求	challenge
需要	challenge
百	hundred
百个	hundred
许多	hundred
非常	much
很	much
许多的	much
自由	liberty
释放	liberty
许可	liberty
发	nounce
的音	nounce
宣布	nounce
判决	sentence
句子	sentence
宣判	sentence
对比	contrast
对照	contrast
悬殊	contrast
公鸡	cock
雄禽	cock
旋塞	cock
纺	spin
使旋转	spin
旋转	spin
选举	elect
推选	elect
选择	elect
巢	nest
窝	nest
穴	nest
学习	study
研究	study
学	study
取得	acquire
获得	acquire
学到	acquire
学校	school
学院	school
学派	school
程度	degree
度	degree
学位	degree
学生	student
研究生	student
学者	student
血	blood
血液	blood
血统	blood
电路	circuit
环行	circuit
巡行	circuit
要求	demand
需要	demand
询问	demand
旋转	rotation
转动	rotation
循环	rotation
纪律	discipline
训练	discipline
教育	educate
培养	educate
训练	educate
练习	practise
实习	practise
训练	practise
追上	overtake
赶上	overtake
压倒	overtake
榨	squeeze
挤	squeeze
压榨	squeeze
鸭	duck
雌鸭	duck
鸭肉	duck
优美	grace
文雅	grace
雅致	grace
管子	pipe
导管	pipe
烟斗	pipe
牛	ox
公牛	ox
阉牛	ox
保护	preserve
保存	preserve
腌渍	preserve
延迟	postpone
推迟	postpone
延缓	postpone
继续	continue
连续	continue
延伸	continue
推迟	delay
耽搁	delay
延误	delay
坏的	bad
恶的	bad
严重的	bad
坏	badly
差	badly
严重地	badly
重力	gravity
引力	gravity
严重性	gravity
颜色	color
彩色	color
颜料	color
屏	screen
屏幕	screen
掩蔽	screen
面具	mask
伪装	mask
掩饰	mask
游	swim
游泳	swim
眼花	swim
履行	perform
执行	perform
演出	perform
玩	play
游戏	play
演奏	play
疲劳	tire
累	tire
厌倦	tire
正餐	dinner
主餐	dinner
宴会	dinner
毛毯	blanket
毯子	blanket
羊毛毯	blanket
食物	food
食品	food
养料	food
锈	rust
生锈	rust
氧化	rust
样本	specimen
标本	specimen
样品	specimen
问	ask
要求	ask
邀请	ask
山洞	cave
洞穴	cave
窑洞	cave
摇	rock
使动摇	rock
摇摆	swing
回转	swing
摇	shake
使震动	shake
摇动	shake
摇动	sway
摇	sway
发抖	tremble
哆嗦	tremble
摇动	tremble
远的	far
远	far
遥远	far
药	drug
药物	drug
药材	drug
事情	matter
物质	matter
要紧	matter
大概	maybe
或许	maybe
也许	maybe
可能	might
会	might
也许	might
郊游	picnic
野餐	picnic
雄心	ambition
抱负	ambition
野心	ambition
猪	pig
小猪	pig
野猪	pig
实践	practice
练习	practice
业务	practice
刀刃	blade
刀片	blade
叶片	blade
午夜	midnight
子夜	midnight
夜半	midnight
酒	liquor
溶液	liquor
液剂	liquor
半	half
一半	half
一半的	half
线	string
细绳	string
一串	string
一次	once
曾经	once
课程	course
过程	course
一道菜	course
长	length
长度	length
一段	length
边	side
旁边	side
一方	side
分	minute
分钟	minute
一会儿	minute
群	crowd
大众	crowd
一伙人	crowd
剂量	dose
用量	dose
一剂	dose
门	door
通道	door
一家	door
瞥见	glimpse
一瞥	glimpse
一看	glimpse
摘要	summary
概要	summary
一览	summary
圆的	round
兜圈	round
一轮	round
瓶	bottle
酒瓶	bottle
一瓶	bottle
农作物	crop
庄稼	crop
一熟	crop
条	item
条款	item
一条	item
一把	handful
少数	handful
一小撮	handful
电池	battery
一套	battery
一组	battery
动作	movement
活动	movement
移动	movement
省略	omit
省去	omit
遗漏	omit
丢弃	discard
抛弃	discard
遗弃	discard
发问	question
问题	question
疑问	question
鼓舞	inspire
给	inspire
以灵感	inspire
大会	congress
国会	congress
议会	congress
翻译	translation
译文	translation
译本	translation
劝告	advice
忠告	advice
意见	advice
想法	idea
思想	idea
意见	idea
理论	theory
学说	theory
意见	theory
意义	meaning
意思	meaning
意图	meaning
想要	intend
打算	intend
意指	intend
作	mean
解释	mean
意指	mean
如此	thus
这样	thus
因而	thus
为	for
给	for
因为	for
从	since
以来	since
因为	since
云	cloud
云状物	cloud
阴影	cloud
荫	shade
遮光物	shade
荫蔽	shade
银	silver
银子	silver
银器	silver
吸引	attraction
吸引力	attraction
引力	attraction
出现	arise
由	arise
引起	arise
介绍	introduction
引进	introduction
引言	introduction
序言	preface
前言	preface
引语	preface
饮	drink
喝	drink
饮料	drink
把	hide
藏起来	hide
隐瞒	hide
印	impression
印象	impression
印记	impression
脚	foot
最下部	foot
英尺	foot
获胜	win
赢	win
赢得	win
电影院	cinema
电影	cinema
影片	cinema
影响	influence
势力	influence
阴影	shadow
阴	shadow
影子	shadow
将要	shall
必须	shall
应	shall
像	image
形象	image
映象	image
拿住	hold
掌握	hold
拥有	hold
自己的	own
有	own
拥有	own
总是	always
一直	always
永远	always
心	heart
内心	heart
勇气	heart
男主角	hero
英雄	hero
勇士	hero
用	use
耗费	use
工具	tool
器具	tool
用具	tool
善	virtue
美德	virtue
优点	virtue
偏爱	preference
优先	preference
优先权	preference
薄暮	dusk
黄昏	dusk
幽暗	dusk
幽默	humour
诙谐	humour
幽默感	humour
因此	thereby
从而	thereby
由此	thereby
包裹	parcel
小包	parcel
邮包	parcel
邮政	post
邮寄	post
邮件	post
油煎	fry
油炸	fry
油炒	fry
游行	parade
检阅	parade
三月	march
行军	march
游行示威	march
同样地	likewise
也	likewise
又	likewise
小的	little
少	little
幼小的	little
微生物	germ
细菌	germ
幼芽	germ
吸引	attract
引起	attract
诱惑	attract
陷阱	trap
诡计	trap
诱骗	trap
现在	now
立刻	now
于是	now
房间	room
地位	room
余地	room
小船	boat
艇	boat
渔船	boat
羽毛	feather
翎毛	feather
羽状物	feather
词汇表	vocabulary
词汇	vocabulary
语汇	vocabulary
心情	mood
情绪	mood
语气	mood
说话声	voice
意见	voice
语态	voice
舌	tongue
舌头	tongue
语言	tongue
浴	bath
洗澡	bath
浴缸	bath
厕所	toilet
盥洗室	toilet
浴室	toilet
预言	predict
预告	predict
预测	predict
书	book
书籍	book
预定	book
储备	reserve
保留	reserve
预定	reserve
期待	expectation
期望	expectation
预期	expectation
预测	forecast
预报	forecast
预示	forecast
食欲	appetite
胃口	appetite
欲望	appetite
成分	element
要素	element
元素	element
原谅	pardon
赦免	pardon
核	nucleus
核心	nucleus
原子核	nucleus
罗盘	compass
指南针	compass
圆规	compass
鼓	drum
鼓状物	drum
圆桶	drum
圆周	circumference
周长	circumference
圆周线	circumference
柱	column
支柱	column
圆柱	column
减轻	relief
救济	relief
援救	relief
泉水	fountain
喷泉	fountain
源泉	fountain
距离	distance
间距	distance
远处	distance
将要	will
会	will
愿	will
相望	desire
要求	desire
愿望	desire
任命	appoint
委任	appoint
约定	appoint
任命	appointment
约定	appointment
约会	appointment
限制	restrict
限定	restrict
约束	restrict
诺言	mise
指望	mise
允诺	mise
田野	field
田	field
运动场	field
货运	freight
货物	freight
运费	freight
操作	operation
手术	operation
运算	operation
表现	behave
举止	behave
运转	behave
输出	export
出口	export
运走	export
植物	plant
工厂	plant
栽种	plant
抚养	rear
培养	rear
栽种	rear
出席	presence
到场	presence
在	presence
东	east
东部	east
在东方	east
先的	previous
前的	previous
在前	previous
由	consist
组成	consist
在于	consist
庆祝	celebrate
歌颂	celebrate
赞美	celebrate
钦佩	admire
羡慕	admire
赞赏	admire
赞扬	praise
赞美	praise
遭遇	encounter
遇到	encounter
童年	childhood
幼年	childhood
早期	childhood
早	early
早的	early
早期的	early
喧闹声	noise
响声	noise
噪声	noise
获得	gain
增加	gain
增进	gain
生长	grow
变得	grow
增长	grow
膨胀	swell
隆起	swell
增长	swell
恐怖	horror
战栗	horror
憎恶	horror
爆炸	blast
冲击波	blast
炸	blast
爆炸	explosion
爆发	explosion
炸裂	explosion
弄脏	pollute
污染	pollute
沾污	pollute
水泥	cement
胶泥	cement
粘结	cement
显示	exhibit
陈列	exhibit
展览	exhibit
展览	exhibition
陈列	exhibition
展览会	exhibition
观点	outlook
看法	outlook
展望	outlook
生产	duce
产生	duce
展现	duce
装满	fill
盛满	fill
占满	fill
占领	occupy
占	occupy
占有	occupy
有	possession
所有	possession
占有物	possession
长的	long
远的	long
长久	long
流动	flow
飘垂	flow
涨潮	flow
手掌	palm
手心	palm
掌状物	palm
记述	account
解释	account
帐目	account
栅栏	barrier
屏障	barrier
障碍	barrier
水坝	dam
水堤	dam
障碍物	dam
篱笆	hedge
树篱	hedge
障碍物	hedge
邀请	invite
聘请	invite
招待	invite
为	serve
服务	serve
招待	serve
找到	find
发觉	find
找出	find
因此	accordingly
所以	accordingly
照着	accordingly
折叠	fold
合拢	fold
褶	fold
这	this
今	this
油画	painting
绘画	painting
着色	painting
沾污	stain
给	stain
着色	stain
压力	stress
重音	stress
着重	stress
察觉	detect
发觉	detect
侦察	detect
察觉	detection
发觉	detection
侦察	detection
好奇	curiosity
好奇心	curiosity
珍品	curiosity
奖赏	prize
奖金	prize
珍视	prize
财富	treasure
珍宝	treasure
珍视	treasure
很	very
完全	very
真的	very
真理	truth
真实	truth
真实性	truth
冲击	shock
震惊	shock
震动	shock
压碎	crush
碾碎	crush
镇压	crush
争论	dispute
争执	dispute
蒸汽	steam
蒸发	steam
蒸	steam
种类	sort
类别	sort
整理	sort
加	plus
加上	plus
正的	plus
刚才	just
只是	just
正好	just
正确的	right
对	right
正好	right
印刷	print
正片	print
公文	document
文件	document
证件	document
证实	verify
查证	verify
证明	verify
根据	evidence
证据	evidence
证人	evidence
政治	politics
政治学	politics
政纲	politics
政府	government
治理	government
政治	government
利益	behalf
维护	behalf
支持	behalf
统治	govern
治理	govern
支配	govern
知识	knowledge
学识	knowledge
知道	knowledge
意识	consciousness
觉悟	consciousness
知觉	consciousness
感情	feeling
感觉	feeling
知觉	feeling
学习	learning
学问	learning
知识	learning
证书	certificate
证件	certificate
执照	certificate
直的	straight
正直的	straight
直	straight
统治者	ruler
尺	ruler
直尺	ruler
岗位	post
哨所	post
职位	post
占领	occupation
占据	occupation
职业	occupation
店员	clerk
办事员	clerk
职员	clerk
责任	responsibility
责任心	responsibility
职责	responsibility
解决	settlement
殖民	settlement
殖民地	settlement
索引	index
指数	index
指标	index
举止	conduct
行为	conduct
指导	conduct
方向	direction
方位	direction
指导	direction
指派	assign
分配	assign
指定	assign
老板	boss
上司	boss
指挥	boss
手	hand
人手	hand
指针	hand
准备	preparation
预备	preparation
制备	preparation
闸	brake
刹车	brake
制动	brake
系统	system
体系	system
制度	system
使	make
做	make
制造	make
医治	cure
消除	cure
治愈	cure
延长	extend
扩大	extend
致	extend
问候	greeting
招呼	greeting
致敬	greeting
瞄准	aim
针对	aim
致力	aim
将	devote
奉献	devote
致力于	devote
智力	wit
才智	wit
智能	wit
打断	interrupt
